state,reporting_coverage,index,rate,year
United States,72,Violent Crime Index,330,2e3
Alabama,71,Violent Crime Index,149,2e3
Alaska,91,Violent Crime Index,243,2e3
Arizona,91,Violent Crime Index,294,2e3
Arkansas,86,Violent Crime Index,183,2e3
California,100,Violent Crime Index,405,2e3
Colorado,76,Violent Crime Index,238,2e3
Connecticut,76,Violent Crime Index,279,2e3
Delaware,50,Violent Crime Index,1053,2e3
District of Columbia,0,Violent Crime Index,NA,2e3
Florida,98,Violent Crime Index,612,2e3
Georgia,48,Violent Crime Index,272,2e3
Hawaii,88,Violent Crime Index,247,2e3
Idaho,99,Violent Crime Index,176,2e3
Illinois,23,Violent Crime Index,939,2e3
Indiana,64,Violent Crime Index,350,2e3
Iowa,88,Violent Crime Index,244,2e3
Kansas,0,Violent Crime Index,NA,2e3
Kentucky,6,Violent Crime Index,206,2e3
Louisiana,69,Violent Crime Index,408,2e3
Maine,98,Violent Crime Index,121,2e3
Maryland,84,Violent Crime Index,528,2e3
Massachusetts,76,Violent Crime Index,449,2e3
Michigan,85,Violent Crime Index,149,2e3
Minnesota,94,Violent Crime Index,283,2e3
Mississippi,50,Violent Crime Index,147,2e3
Missouri,52,Violent Crime Index,329,2e3
Montana,38,Violent Crime Index,379,2e3
Nebraska,91,Violent Crime Index,118,2e3
Nevada,98,Violent Crime Index,254,2e3
New Hampshire,59,Violent Crime Index,96,2e3
New Jersey,97,Violent Crime Index,360,2e3
New Mexico,63,Violent Crime Index,281,2e3
New York,35,Violent Crime Index,315,2e3
North Carolina,79,Violent Crime Index,317,2e3
North Dakota,89,Violent Crime Index,32,2e3
Ohio,52,Violent Crime Index,218,2e3
Oklahoma,100,Violent Crime Index,248,2e3
Oregon,81,Violent Crime Index,201,2e3
Pennsylvania,75,Violent Crime Index,462,2e3
Rhode Island,95,Violent Crime Index,274,2e3
South Carolina,28,Violent Crime Index,322,2e3
South Dakota,79,Violent Crime Index,138,2e3
Tennessee,69,Violent Crime Index,176,2e3
Texas,96,Violent Crime Index,215,2e3
Utah,70,Violent Crime Index,213,2e3
Vermont,81,Violent Crime Index,57,2e3
Virginia,73,Violent Crime Index,158,2e3
Washington,69,Violent Crime Index,328,2e3
West Virginia,49,Violent Crime Index,85,2e3
Wisconsin,0,Violent Crime Index,NA,2e3
Wyoming,100,Violent Crime Index,159,2e3
United States,72,Property Crime Index,1686,2e3
Alabama,71,Property Crime Index,822,2e3
Alaska,91,Property Crime Index,2565,2e3
Arizona,91,Property Crime Index,2185,2e3
Arkansas,86,Property Crime Index,1477,2e3
California,100,Property Crime Index,1411,2e3
Colorado,76,Property Crime Index,2628,2e3
